,"Data Count",Appointments,"Response Rate",New,Used,Demo,0km,"Conversion Rate","In Progress"
Audi,1943,19,0.98%,5,7,0,0,63.16%,0
Porsche,2792,28,1.00%,5,2,2,0,32.14%,0
SEAT,1623,42,2.59%,15,7,0,0,52.38%,0
ŠKODA,1829,38,2.08%,14,4,0,0,47.37%,0
Total,8187,127,1.55%,39,20,2,0,48.03%,0
