Manufacturer,"Data Count",Appointments,New,Used,Demo,0km,"In Progress"
Audi,1943,19,5,7,0,0,0
Porsche,2792,28,5,2,2,0,0
SEAT,1623,42,15,7,0,0,0
ŠKODA,1829,38,14,4,0,0,0
Total,8187,127,39,20,2,0,0
