,"Data Count",Appointments,"Response Rate",New,Used,Demo,0km,"Conversion Rate","In Progress"
"MC Motors Avignon VIP Event",1239,33,2.66%,17,2,0,0,57.58%,0
Total,1239,33,2.66%,17,2,0,0,57.58%,0
