,"Data Count",Appointments,"Response Rate",New,Used,Demo,0km,"Conversion Rate","In Progress"
"MC Motors Avignon VIP Event",1239,33,2.66%,17,2,0,0,57.58%,0
"Nice Car SA Nice VIP Event",2379,16,0.67%,12,0,0,0,75.00%,0
"Riviera Technic Cannes VIP Event",1998,18,0.90%,23,0,0,0,127.78%,0
Total,5616,67,1.19%,52,2,0,0,80.60%,0
