,"Data Count",Appointments,"Response Rate",New,Used,Demo,0km,"Conversion Rate","In Progress"
"Premium Trade Cars BMW MINI Event",3000,400,13.33%,30,20,3,5,14.50%,2
"Premium Trade Cars All Brand Event",1629,24,1.47%,5,4,0,0,37.50%,0
Total,4629,424,9.16%,35,24,3,5,15.80%,2
