Manufacturer,"Data Count",Appointments,New,Used,Demo,0km,"In Progress"
"Alfa Romeo",2137,21,7,7,0,0,0
Fiat,1324,12,1,2,0,0,0
Jeep,1684,31,15,0,0,0,0
